,street,zipcode,price,sq,rooms,gestoffeerd,available
https://www.woonnet.nl/huurwoning/amsterdam/3977463_juliana-van-stolbergstraat,Juliana Van Stolbergstraat ,1055 RG,€1550,55,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2014_de-clercqstraat,De Clercqstraat ,1053 AG,€1500,85,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5753_sassenheimstraat,Sassenheimstraat ,1059 BL,€675,55,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/5788259_orteliuskade,Orteliuskade ,1057 AP,€1500,56,2,Gestoffeerd,2021-06-12
https://www.woonnet.nl/huurwoning/amsterdam/2440_dever,Dever ,1082 BJ,€1245,50,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/4179055_grensstraat,Grensstraat ,1091 SZ,€1110,52,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/1985_s-gravesandeplein,'s-Gravesandeplein ,1091 BB,€1350,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3921978_van-boshuizenstraat,Van Boshuizenstraat ,1083 AP,€1550,75,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3228_leimuidenstraat,Leimuidenstraat ,1059 EK,€1500,55,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3398569_griseldestraat,Griseldestraat ,1055 AR,€1600,58,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1643182_bos-en-lommerweg,Bos En Lommerweg ,1055 PK,€1150,50,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2286_assumburg,Assumburg ,1081 GC,€665,77,3,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/8096_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 JX,€750,60,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/3085_warmondstraat,Warmondstraat ,1058 KZ,€1399,85,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2400350_griseldestraat,Griseldestraat ,1055 AR,€1600,58,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/2054874_spaarndammerdijk,Spaarndammerdijk ,1013 ZM,€1500,65,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1732786_curacaostraat,Curacaostraat ,1058 BJ,€1500,58,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1412787_joubertstraat,Joubertstraat ,1091 XM,€1600,63,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1403375_plantage-muidergracht,Plantage Muidergracht ,1018 TK,€1400,60,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1283491_eerste-jan-steenstraat,Eerste Jan Steenstraat ,1072 NH,€1500,63,2,Gestoffeerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/1151068_nida-senffstraat,Nida Senffstraat ,1095,€1500,67,2,Gemeubileerd,beschikbaar
https://www.woonnet.nl/huurwoning/amsterdam/914737_de-wittenkade,De Wittenkade ,1051 BE,€1495,55,99,onbekend,onbekend
https://www.woonnet.nl/huurwoning/amsterdam/686116_jacob-van-lennepstraat,Jacob Van Lennepstraat ,1053 HA,€1550,70,99,Per direct beschikbaar,gratis!</span>
https://www.woonnet.nl/huurwoning/amsterdam/1171_westerkade,Westerkade ,1015 XA,€1600,55,2,Gemeubileerd,beschikbaar
