,street,zipcode,price,sq,rooms,gestoffeerd,available,date added
https://www.woonnet.nl/huurwoning/amsterdam/2550_sumatrastraat,Sumatrastraat ,1094 NG,1350.0,50,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7931700_marco-polostraat,Marco Polostraat ,1057 WL,1525.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7803138_orteliusstraat,Orteliusstraat 17 - S,1057 AR,1000.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6649946_vrolikstraat,Vrolikstraat ,1091 VG,1600.0,60,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/7199335_wagenaarstraat,Wagenaarstraat ,1093 CN,1600.0,65,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5502_uiterwaardenstraat,Uiterwaardenstraat ,1059 BS,725.0,55,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3665_john-blankensteinstraat,John Blankensteinstraat ,1095 MB,1134.0,73,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6947900_balistraat,Balistraat ,1094,1500.0,51,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4122_utrechtsestraat,Utrechtsestraat ,1017 VS,750.0,75,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3733_vespuccistraat,Vespuccistraat ,1056 SV,700.0,92,4,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8135_van-bossestraat,Van Bossestraat ,1051 KB,763.0,50,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3132_kinkerstraat,Kinkerstraat ,1053 GJ,725.0,52,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2155_jacob-van-lennepkade,Jacob van Lennepkade ,1054 ZW,725.0,65,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6497379_pieter-cornelisz-hooftstraat,Pieter Cornelisz. Hooftstraat ,1071 BL,595.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6498451_kerkstraat,Kerkstraat ,1017 GA,325.0,999,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/9187_paramaribostraat,Paramaribostraat ,1058 AN,617.0,85,3,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5753_sassenheimstraat,Sassenheimstraat ,1059 BL,675.0,55,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/5788259_orteliuskade,Orteliuskade ,1057 AP,1500.0,56,2,Gestoffeerd,2021-06-12,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1985_s-gravesandeplein,'s-Gravesandeplein ,1091 BB,1350.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/4179055_grensstraat,Grensstraat ,1091 SZ,1110.0,52,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3228_leimuidenstraat,Leimuidenstraat ,1059 EK,1500.0,55,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/8096_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 JX,750.0,60,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/3085_warmondstraat,Warmondstraat ,1058 KZ,1399.0,85,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/2054874_spaarndammerdijk,Spaarndammerdijk ,1013 ZM,1500.0,65,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1732786_curacaostraat,Curacaostraat ,1058 BJ,1500.0,58,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1412787_joubertstraat,Joubertstraat ,1091 XM,1600.0,63,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1403375_plantage-muidergracht,Plantage Muidergracht ,1018 TK,1400.0,60,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1283491_eerste-jan-steenstraat,Eerste Jan Steenstraat ,1072 NH,1500.0,63,2,Gestoffeerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1151068_nida-senffstraat,Nida Senffstraat ,1095,1500.0,67,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/914737_de-wittenkade,De Wittenkade ,1051 BE,1495.0,55,99,onbekend,onbekend,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/686116_jacob-van-lennepstraat,Jacob Van Lennepstraat ,1053 HA,1550.0,70,99,Per direct beschikbaar,gratis!</span>,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/1171_westerkade,Westerkade ,1015 XA,1600.0,55,2,Gemeubileerd,beschikbaar,01-04-2020
https://www.woonnet.nl/huurwoning/amsterdam/6069_andreasplein,Andreasplein ,1058 GD,650.0,112,3,Gestoffeerd,01-05-2020,2020-04-19 16:00:24.064471
https://www.woonnet.nl/huurwoning/amsterdam/4993_pieter-cornelisz-hooftstraat,Pieter Cornelisz Hooftstraat ,1071 BX,697.0,50,2,Gestoffeerd,01-05-2020,2020-04-19 16:00:24.641565
https://www.woonnet.nl/huurwoning/amsterdam/4040_kastanjeplein,Kastanjeplein ,1092 CH,825.0,58,2,Gestoffeerd,01-05-2020,2020-04-19 16:00:25.742415
https://www.woonnet.nl/huurwoning/amsterdam/6945_van-woustraat,Van Woustraat ,1073 LM,1400.0,55,2,Gestoffeerd,01-05-2020,2020-04-19 16:00:26.180326
https://www.woonnet.nl/huurwoning/amsterdam/2465_recht-boomssloot,Recht Boomssloot ,1011 CS,1100.0,50,2,Gestoffeerd,01-05-2020,2020-04-19 16:00:26.181542
https://www.woonnet.nl/huurwoning/amsterdam/351_borgerstraat,Borgerstraat ,1053 PA,1.0,76,2,Gemeubileerd,beschikbaar,2020-04-19 16:00:26.182923
https://www.woonnet.nl/huurwoning/amsterdam/4037_amstelveenseweg,Amstelveenseweg ,1075 XW,700.0,85,3,Gestoffeerd,01-05-2020,2020-04-19 16:00:26.540802
https://www.woonnet.nl/huurwoning/amsterdam/3529_albert-cuypstraat,Albert Cuypstraat ,1073 BJ,608.0,60,3,Gestoffeerd,01-05-2020,2020-04-19 16:00:26.884526
https://www.woonnet.nl/huurwoning/amsterdam/8541_bartholomeus-diazstraat,Bartholomeus Diazstraat ,1057 TA,1450.0,70,2,Gestoffeerd,01-05-2020,2020-04-19 16:00:27.607405
https://www.woonnet.nl/huurwoning/amsterdam/5713_sint-jansstraat,Sint Jansstraat ,1012 HG,717.0,89,3,Gestoffeerd,01-05-2020,2020-04-19 16:00:27.959983
https://www.woonnet.nl/huurwoning/amsterdam/5491_haarlemmermeerstraat,Haarlemmermeerstraat ,1058 JW,750.0,62,2,Gestoffeerd,15-05-2020,2020-04-26 11:18:27.202289
https://www.woonnet.nl/huurwoning/amsterdam/9363_mercatorstraat,Mercatorstraat ,1056 RD,700.0,55,2,Gestoffeerd,01-07-2020,2020-04-26 11:18:27.904715
https://www.woonnet.nl/huurwoning/amsterdam/8613_therese-schwartzeplein,Therese Schwartzeplein ,1073 JK,1020.0,53,2,Gestoffeerd,01-06-2020,2020-04-26 11:18:27.905914
https://www.woonnet.nl/huurwoning/amsterdam/3937_mauvestraat,Mauvestraat ,1073 RJ,750.0,55,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:34.253592
https://www.woonnet.nl/huurwoning/amsterdam/1920_rustenburgerstraat,Rustenburgerstraat ,1072 GZ,500.0,60,4,Gestoffeerd,01-05-2020,2020-04-26 11:18:34.255832
https://www.woonnet.nl/huurwoning/amsterdam/9501511_van-walbeeckstraat,Van Walbeeckstraat 53 III,1058 CK,1600.0,59,2,Per direct beschikbaar,gratis!</span>,2020-04-26 11:18:35.906191
https://www.woonnet.nl/huurwoning/amsterdam/8678_graaf-florisstraat,Graaf Florisstraat ,1091 TG,1500.0,60,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:36.626745
https://www.woonnet.nl/huurwoning/amsterdam/9501082_wijdesteeg-pp,Wijdesteeg P.p ,1012 RN,550.0,999,99,onbekend,onbekend,2020-04-26 11:18:37.989579
https://www.woonnet.nl/huurwoning/amsterdam/2065_prins-hendrikkade,Prins Hendrikkade ,1012 TL,950.0,257,2,Gestoffeerd,01-05-2020,2020-04-26 11:18:38.076593
https://www.woonnet.nl/huurwoning/amsterdam/4010_trompenburgstraat,Trompenburgstraat ,1079 TX,567.0,92,3,Gestoffeerd,01-05-2020,2020-04-26 11:18:38.431423
https://www.woonnet.nl/huurwoning/amsterdam/9499982_trompenburgstraat,Trompenburgstraat ,1079 TM,1529.0,85,2,Gestoffeerd,beschikbaar,2020-04-26 11:18:43.770301
https://www.woonnet.nl/huurwoning/amsterdam/9499664_agamemnonstraat,Agamemnonstraat 43 I,1076 LR,1550.0,53,2,Per direct beschikbaar,gratis!</span>,2020-04-26 11:18:44.362130
